#AUTHID,STATUS,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,
b7b7764cfa1c523e4e93ab2a79a946c4,likes the sound of thunder.,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/25/09 06:18 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,
f80644859abfbc92e9a92072c2dc50fa,is baking a cherry pie from scratch :-),2.1,3,3.9,4.15,4.8,n,y,y,y,y,09/09/09 07:48 PM,307,42793.6,91.7,0.04,45225,0.48,0.23,
f65fd0385c972159743d21700c9a7887,what is on my mind... not much... it is retreating from the coming tide of homework...,2.35,2.85,3.4,2.55,4.8,n,y,n,n,y,06/25/09 10:32 PM,361,58695.3,90.83,0.02,63826,0.49,0.05,
eb7f8081aa0bd4004f513d3299db9063,is so excited to start a summer book club!!,2.71,3.57,3.14,3.64,3.57,n,y,n,y,n,08/21/09 08:13 PM,731,261379,98.23,0.01,264141,0.5,0.06,
eb3eeec6966504b2c01b77f986f24523,"The bike home for lunch is rather exhilarating when oversized truck make right turns from the left lane, without turn signals.  At least do it when the light is green maybe?",2.6,3.6,2.85,2.9,3.55,n,y,n,n,n,06/19/09 01:52 PM,294,39642.4,92.67,0.04,41550,0.49,0.21,
eac7f51d95da0fefde6ecc692dcf85cc,"Let it snow, let it snow, let it snow!",2.2,3.25,4.15,2.6,4.4,n,y,y,n,y,02/08/10 06:28 PM,94,3706.68,86.65,0.09,3973,0.46,0.39,
ea890531d3e0547166efde52d843099e,"Just wanted to thank everyone for all the support (and great tips) yesterday, it meant alot! made it through yesterday without smoking at all...and still going strong! :)",4.75,4.25,3.75,3.5,5,y,y,y,y,y,01/18/10 09:15 AM,325,49975.1,95.51,0.03,51220,0.49,0.18,
ea28a927cb6663480ea33ca917c3c8ba,is wishing it was Saturday.,4.05,3.35,3.8,3.95,4.5,y,y,y,y,y,01/09/10 01:01 AM,83,2935.76,88.4,0.08,3120,0.47,0.26,
e7b7f5af7d02ec06b3da2edf2053dfed,is saying that the Vikings better kill the lions as if they were Stanford killing the trojans yesterday!!!,3.3,3.3,2.3,3.89,4.15,n,y,n,y,y,02/11/10 09:16 PM,714,245021,96.53,0.02,250442,0.49,0.16,
e6cdef6f475cce3023c5b715f8c9f110,"Quote from a Christian Fundementalist idiot: ""Can you prove your point or are you just going to spout out evidence all day?""",1.8,2.9,2.9,3,4.2,n,y,n,n,y,10/12/09 07:26 PM,89,3036.16,79.31,0.12,3452,0.45,0.43,
